Código,Nome da Sociedade,Data,Data_original,Endereço,Licença,Estatuto,Notação-GIFI,Tipo de licença,Obs,Presidente,Licença anterior,Nomes/Sujeitos,Doc policial,Tipo_licenca_categoria,Tipo_licenca_componentes
181,grupo carnavalesco coração de ouro,1906-02-10,10/02/1906,"onze de maio, 16",1,0,6c170,sair no carnaval,só se organiza no carnaval,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
182,grupo carnavalesco rompe e rasga,1906-02-08,08/02/1906,"rua barão de são félix, 43",1,0,6c170,licença anual e para sair no carnaval,lista de sócios,,0,1,0,desfile_anual,desfile_carnavalesco|licenca_anual
183,grupo carnavalesco filha do triunfo do pedaço,1906-02-12,12/02/1906,"rua do presidente barroso, 73",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
184,grupo dos galos,1906-02-10,10/02/1906,"rua theodoro da silva, 58",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
185,grupo carnavalesco lira do com pastor,1906-02-13,13/02/1906,"rua do mesmo nome, 1",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
186,sociedade dançante carnvalesca mina de ouro,1906-02-17,17/02/1906,"rua presidente barroso, 8",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
187,grêmio carnavalesco caprichosos do pinheiro,1906-02-12,12/02/1906,"rua ypiranga, 10 A, casa 26",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
188,grupo carnavalesco filhos do sereno de ouro,1906-02-03,03/02/1906,"rua francisca ziezis, 10",1,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
189,grupo carnavalesco pingos de ouro,1906-02-13,13/02/1906,"rua mont'alverne, 38 B",1,0,6c170,sair no carnaval,lista de sócios e imagem 6716,,0,1,0,desfile_carnavalesco,desfile_carnavalesco
190,grupo carnavalesco silenciosos,1906-02-12,12/02/1906,"clube dramático de realengo, estrada real de santa cruz, 84",1,0,6c170,sair no carnaval,tb imagem 6735,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
191,grupo carnavalesco teimosos do engenho velho,1906-01-29,29/01/1906,"rua de são christóvão, 51",1,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
192,grêmio carnavalesco ave do paraíso,1906-02-10,10/02/1906,"rua amália, 15, estação dr. Frotin",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
193,clube dos chineses,1906-02-13,13/02/1906,"rua do senador pompeu, 37",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
194,sociedade carnavalesca repentinos de realengo,1906-02-10,10/02/1906,estação de realengo,1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
195,grupo carnavalesco estrela de ouro de realengo,1906-02-07,07/02/1906,"estrada de santa cruz, 132",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
196,sociedade dançante carnavalesca chuveiro do inferno,1906-02-08,08/02/1906,"travessa miguel de frias, 17",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
197,grupo carnavalesco art nouveau,1906-02-09,09/02/1906,"rua amalia, 42",1,0,6c170,sair no carnaval,só se organiza no carnaval,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
